observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_schoenefeld_abtnaundorf_students_bafog_only_2026,schoenefeld_abtnaundorf,students,bafog_only,2026,9.46,30,120,403.8,992,0.407,critical,wohnungsboerse_2026,bafoeg_2024
affordability_schoenefeld_abtnaundorf_students_bafog_plus_minijob_2026,schoenefeld_abtnaundorf,students,bafog_plus_minijob,2026,9.46,30,120,403.8,1595,0.253,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_schoenefeld_ost_students_bafog_only_2026,schoenefeld_ost,students,bafog_only,2026,8.6,30,120,378.0,992,0.381,critical,wohnungsboerse_2026,bafoeg_2024
affordability_schoenefeld_ost_students_bafog_plus_minijob_2026,schoenefeld_ost,students,bafog_plus_minijob,2026,8.6,30,120,378.0,1595,0.237,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_seehausen_students_bafog_only_2026,seehausen,students,bafog_only,2026,10.84,30,120,445.2,992,0.449,critical,wohnungsboerse_2026,bafoeg_2024
affordability_seehausen_students_bafog_plus_minijob_2026,seehausen,students,bafog_plus_minijob,2026,10.84,30,120,445.2,1595,0.279,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_sellerhausen_stuenz_students_bafog_only_2026,sellerhausen_stuenz,students,bafog_only,2026,9.98,30,120,419.4,992,0.423,critical,wohnungsboerse_2026,bafoeg_2024
affordability_sellerhausen_stuenz_students_bafog_plus_minijob_2026,sellerhausen_stuenz,students,bafog_plus_minijob,2026,9.98,30,120,419.4,1595,0.263,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_stoetteritz_students_bafog_only_2026,stoetteritz,students,bafog_only,2026,10.85,30,120,445.5,992,0.449,critical,wohnungsboerse_2026,bafoeg_2024
affordability_stoetteritz_students_bafog_plus_minijob_2026,stoetteritz,students,bafog_plus_minijob,2026,10.85,30,120,445.5,1595,0.279,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
